Device Type,Brand Name,Marketing Name,OS,OS Version,Device Model,User Given Name,Device Last Location,Gaia ID
MOBILE,Blu,C5L Max,Android,11,C5L Max,,"Country ISO: US
Last Activity Time: 2023-09-09 20:03:00 UTC",680677419164
PC,,,Windows,10.0,,,"Country ISO: US
Last Activity Time: 2023-09-06 20:40:44 UTC",680677419164
PC,,,Windows,10.0,,,"Country ISO: US
Last Activity Time: 2023-08-12 20:24:16 UTC",680677419164
